[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl site.ycsb:foundationdb-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
java -cp /users/gyming/YCSB/foundationdb/conf:/users/gyming/YCSB/foundationdb/target/foundationdb-binding-0.18.0-SNAPSHOT.jar:/users/gyming/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/users/gyming/.m2/repository/org/slf4j/slf4j-api/1.7.25/slf4j-api-1.7.25.jar:/users/gyming/YCSB/foundationdb/fdb-java-7.2.5.jar:/users/gyming/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/users/gyming/.m2/repository/org/slf4j/slf4j-log4j12/1.7.10/slf4j-log4j12-1.7.10.jar:/users/gyming/.m2/repository/log4j/log4j/1.2.17/log4j-1.2.17.jar:/users/gyming/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/users/gyming/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/users/gyming/YCSB/core/target/core-0.18.0-SNAPSHOT.jar site.ycsb.Client -db site.ycsb.db.foundationdb.FoundationDBClient -P /users/gyming/run_ycsb/workloads/1GB/workload_insert -threads 1 -s -load
Command line: -db site.ycsb.db.foundationdb.FoundationDBClient -P /users/gyming/run_ycsb/workloads/1GB/workload_insert -threads 1 -s -load
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
log4j:WARN No appenders could be found for logger (org.apache.htrace.core.Tracer).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
Starting test.
normal
start running at 2025.02.02.00:05:41
2025-02-02 00:05:41:130 0 sec: 0 operations; est completion in 0 second 
amd64
/lib/linux/amd64/libfdb_c.so
amd64
/lib/linux/amd64/libfdb_java.so
Open normal subspace
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-02-02 00:05:51:075 10 sec: 280 operations; 28 current ops/sec; est completion in 9 hours 55 minutes [INSERT: Count=280, Max=68031, Min=24864, Avg=32903.91, 90=34623, 99=41823, 99.9=68031, 99.99=68031] 
2025-02-02 00:06:01:074 20 sec: 575 operations; 29.5 current ops/sec; est completion in 9 hours 39 minutes [INSERT: Count=295, Max=58495, Min=24896, Avg=33876.26, 90=41759, 99=58335, 99.9=58495, 99.99=58495] 
2025-02-02 00:06:11:074 30 sec: 860 operations; 28.5 current ops/sec; est completion in 9 hours 40 minutes [INSERT: Count=285, Max=171775, Min=22944, Avg=34960.76, 90=41791, 99=58463, 99.9=171775, 99.99=171775] 
2025-02-02 00:06:21:074 40 sec: 1151 operations; 29.1 current ops/sec; est completion in 9 hours 38 minutes [INSERT: Count=291, Max=77695, Min=23584, Avg=34372.56, 90=41759, 99=58335, 99.9=77695, 99.99=77695] 
2025-02-02 00:06:31:074 50 sec: 1437 operations; 28.6 current ops/sec; est completion in 9 hours 39 minutes [INSERT: Count=286, Max=75071, Min=24800, Avg=34717.26, 90=41887, 99=61855, 99.9=75071, 99.99=75071] 
2025-02-02 00:06:41:074 60 sec: 1709 operations; 27.2 current ops/sec; est completion in 9 hours 44 minutes [INSERT: Count=272, Max=215167, Min=24864, Avg=36857.94, 90=44927, 99=79295, 99.9=215167, 99.99=215167] 
2025-02-02 00:06:51:074 70 sec: 1987 operations; 27.8 current ops/sec; est completion in 9 hours 45 minutes [INSERT: Count=278, Max=79039, Min=24944, Avg=36032.63, 90=41855, 99=66751, 99.9=79039, 99.99=79039] 
2025-02-02 00:07:01:074 80 sec: 2270 operations; 28.3 current ops/sec; est completion in 9 hours 46 minutes [INSERT: Count=283, Max=83391, Min=8384, Avg=35200.38, 90=41855, 99=66751, 99.9=83391, 99.99=83391] 
2025-02-02 00:07:11:074 90 sec: 2551 operations; 28.1 current ops/sec; est completion in 9 hours 46 minutes [INSERT: Count=281, Max=113791, Min=23568, Avg=35632.91, 90=46399, 99=66815, 99.9=113791, 99.99=113791] 
2025-02-02 00:07:21:074 100 sec: 2826 operations; 27.5 current ops/sec; est completion in 9 hours 48 minutes [INSERT: Count=275, Max=191103, Min=24912, Avg=36283.75, 90=44799, 99=67967, 99.9=191103, 99.99=191103] 
2025-02-02 00:07:31:074 110 sec: 3103 operations; 27.7 current ops/sec; est completion in 9 hours 49 minutes [INSERT: Count=278, Max=78143, Min=24896, Avg=36014.59, 90=42815, 99=66751, 99.9=78143, 99.99=78143] 
