[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl site.ycsb:foundationdb-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
java -cp /users/gyming/YCSB/foundationdb/conf:/users/gyming/YCSB/foundationdb/target/foundationdb-binding-0.18.0-SNAPSHOT.jar:/users/gyming/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/users/gyming/.m2/repository/org/slf4j/slf4j-api/1.7.25/slf4j-api-1.7.25.jar:/users/gyming/YCSB/foundationdb/fdb-java-7.2.5.jar:/users/gyming/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.4/HdrHistogram-2.1.4.jar:/users/gyming/.m2/repository/org/slf4j/slf4j-log4j12/1.7.10/slf4j-log4j12-1.7.10.jar:/users/gyming/.m2/repository/log4j/log4j/1.2.17/log4j-1.2.17.jar:/users/gyming/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/users/gyming/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/users/gyming/YCSB/core/target/core-0.18.0-SNAPSHOT.jar site.ycsb.Client -db site.ycsb.db.foundationdb.FoundationDBClient -P /users/gyming/run_ycsb/workloads/1GB/workload_insert -threads 1 -s -load
Command line: -db site.ycsb.db.foundationdb.FoundationDBClient -P /users/gyming/run_ycsb/workloads/1GB/workload_insert -threads 1 -s -load
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
log4j:WARN No appenders could be found for logger (org.apache.htrace.core.Tracer).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
Starting test.
normal
start running at 2025.01.31.18:55:43
2025-01-31 18:55:43:723 0 sec: 0 operations; est completion in 0 second 
amd64
/lib/linux/amd64/libfdb_c.so
amd64
/lib/linux/amd64/libfdb_java.so
Open normal subspace
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-01-31 18:55:53:665 10 sec: 228 operations; 22.8 current ops/sec; est completion in 12 hours 10 minutes [INSERT: Count=228, Max=102335, Min=33248, Avg=40314.11, 90=41823, 99=83391, 99.9=102335, 99.99=102335] 
2025-01-31 18:56:03:665 20 sec: 483 operations; 25.5 current ops/sec; est completion in 11 hours 29 minutes [INSERT: Count=255, Max=75071, Min=31264, Avg=39254.37, 90=41823, 99=57855, 99.9=75071, 99.99=75071] 
2025-01-31 18:56:13:665 30 sec: 733 operations; 25 current ops/sec; est completion in 11 hours 21 minutes [INSERT: Count=250, Max=92735, Min=32096, Avg=39822.78, 90=41823, 99=66687, 99.9=92735, 99.99=92735] 
2025-01-31 18:56:23:665 40 sec: 983 operations; 25 current ops/sec; est completion in 11 hours 17 minutes [INSERT: Count=250, Max=191743, Min=31824, Avg=39954.02, 90=41823, 99=66879, 99.9=191743, 99.99=191743] 
2025-01-31 18:56:33:665 50 sec: 1229 operations; 24.6 current ops/sec; est completion in 11 hours 17 minutes [INSERT: Count=246, Max=83583, Min=33216, Avg=40713.95, 90=48383, 99=66815, 99.9=83583, 99.99=83583] 
2025-01-31 18:56:43:665 60 sec: 1470 operations; 24.1 current ops/sec; est completion in 11 hours 19 minutes [INSERT: Count=241, Max=114687, Min=33248, Avg=41290.29, 90=45663, 99=68607, 99.9=114687, 99.99=114687] 
2025-01-31 18:56:53:665 70 sec: 1718 operations; 24.8 current ops/sec; est completion in 11 hours 17 minutes [INSERT: Count=248, Max=91967, Min=29824, Avg=40365.52, 90=44639, 99=66815, 99.9=91967, 99.99=91967] 
2025-01-31 18:57:03:665 80 sec: 1959 operations; 24.1 current ops/sec; est completion in 11 hours 19 minutes [INSERT: Count=241, Max=191871, Min=32800, Avg=41318.24, 90=47871, 99=68991, 99.9=191871, 99.99=191871] 
2025-01-31 18:57:13:665 90 sec: 2205 operations; 24.6 current ops/sec; est completion in 11 hours 18 minutes [INSERT: Count=246, Max=99967, Min=8304, Avg=40797.07, 90=49983, 99=78719, 99.9=99967, 99.99=99967] 
2025-01-31 18:57:23:665 100 sec: 2455 operations; 25 current ops/sec; est completion in 11 hours 17 minutes [INSERT: Count=250, Max=72511, Min=30256, Avg=39975.65, 90=43039, 99=66943, 99.9=72511, 99.99=72511] 
2025-01-31 18:57:33:665 110 sec: 2701 operations; 24.6 current ops/sec; est completion in 11 hours 16 minutes [INSERT: Count=246, Max=83391, Min=33248, Avg=40589.07, 90=42879, 99=66751, 99.9=83391, 99.99=83391] 
